Order_ID,Order_Date,Shipping_Date,Delivery_Date,Region,City,Warehouse,Supplier,Product_ID,Category,Order_Quantity,Unit_Price,Total_Sales,Inventory_Level,Reorder_Level,Shipping_Mode,Delivery_Status
ORD1157,2024-05-02,2024-05-05,2024-05-09,West,Ahmedabad,WH-A,Supplier Omega,P337,Health,10,174,1740,146,27,Same Day,On Time
ORD1158,2024-03-03,2024-03-04,2024-03-05,North,Delhi,WH-C,Supplier Alpha,P109,Home & Kitchen,13,413,5369,253,43,Same Day,On Time
ORD1159,2023-10-19,2023-10-22,2023-10-31,North,Chandigarh,WH-C,Supplier Beta,P928,Electronics,5,445,2225,258,79,Express,Late
ORD1160,2024-04-14,2024-04-16,2024-04-19,South,Hyderabad,WH-B,Supplier Beta,P725,Sports,11,414,4554,151,92,Express,Cancelled
ORD1161,2024-02-15,2024-02-15,2024-02-18,East,Kolkata,WH-A,Supplier Gamma,P492,Clothing,16,175,2800,479,51,Express,On Time
ORD1162,2023-11-06,2023-11-06,2023-11-11,East,Bhubaneswar,WH-D,Supplier Gamma,P263,Sports,8,41,328,341,35,Same Day,On Time
ORD1163,2023-05-01,2023-05-03,2023-05-09,East,Patna,WH-B,Supplier Delta,P865,Health,8,500,4000,68,81,Express,On Time
ORD1164,2024-07-16,2024-07-19,2024-07-28,West,Ahmedabad,WH-A,Supplier Omega,P557,Health,7,400,2800,126,96,Same Day,Late
ORD1165,2024-07-31,2024-07-31,2024-08-01,East,Kolkata,WH-B,Supplier Beta,P435,Health,17,113,1921,293,88,Express,On Time
ORD1166,2023-07-30,2023-08-02,2023-08-04,North,Lucknow,WH-B,Supplier Omega,P525,Sports,15,424,6360,28,78,Same Day,On Time
ORD1167,2024-04-18,2024-04-20,2024-04-21,North,Lucknow,WH-A,Supplier Alpha,P533,Home & Kitchen,1,391,391,111,94,Same Day,On Time
ORD1168,2023-03-03,2023-03-03,2023-03-11,North,Lucknow,WH-D,Supplier Gamma,P491,Sports,14,102,1428,393,37,Express,Late
ORD1169,2024-11-30,2024-12-01,2024-12-07,West,Mumbai,WH-B,Supplier Alpha,P874,Electronics,18,211,3798,270,36,Express,On Time
ORD1170,2024-07-11,2024-07-14,2024-07-23,West,Ahmedabad,WH-B,Supplier Gamma,P293,Electronics,8,136,1088,235,64,Standard,Late
ORD1171,2023-01-17,2023-01-18,2023-01-22,West,Ahmedabad,WH-A,Supplier Beta,P858,Electronics,20,27,540,228,96,Express,On Time
ORD1172,2024-07-06,2024-07-07,2024-07-08,West,Mumbai,WH-C,Supplier Omega,P712,Home & Kitchen,10,129,1290,417,93,Standard,On Time
ORD1173,2024-11-07,2024-11-08,2024-11-15,East,Kolkata,WH-B,Supplier Delta,P669,Sports,2,295,590,485,95,Standard,On Time
ORD1174,2024-11-18,2024-11-21,2024-11-30,East,Patna,WH-D,Supplier Beta,P872,Health,14,219,3066,76,58,Express,Late
ORD1175,2023-11-04,2023-11-05,2023-11-13,South,Bangalore,WH-E,Supplier Omega,P237,Sports,18,221,3978,495,73,Standard,Late
ORD1176,2023-12-05,2023-12-05,2023-12-13,East,Kolkata,WH-A,Supplier Gamma,P486,Health,3,284,852,370,44,Same Day,Late
ORD1177,2023-07-12,2023-07-13,2023-07-21,North,Delhi,WH-B,Supplier Beta,P859,Electronics,11,165,1815,489,21,Same Day,Late
ORD1178,2024-12-13,2024-12-14,2024-12-21,West,Mumbai,WH-D,Supplier Delta,P646,Home & Kitchen,18,174,3132,397,56,Express,On Time
ORD1179,2024-06-09,2024-06-12,2024-06-20,East,Bhubaneswar,WH-B,Supplier Gamma,P420,Sports,16,399,6384,429,60,Standard,Late
ORD1180,2023-05-30,2023-05-30,2023-06-04,South,Hyderabad,WH-C,Supplier Beta,P300,Home & Kitchen,19,306,5814,368,73,Standard,On Time
ORD1181,2023-09-09,2023-09-12,2023-09-21,West,Ahmedabad,WH-D,Supplier Delta,P272,Home & Kitchen,11,141,1551,390,82,Standard,Late
ORD1182,2024-07-13,2024-07-16,2024-07-19,South,Hyderabad,WH-E,Supplier Alpha,P959,Electronics,18,338,6084,490,27,Same Day,On Time
